City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Arica,CL,2021-06-04 19:16:28,-18.475,-70.3042,72.95,63,0,7.43
124,Kruisfontein,ZA,2021-06-04 19:16:28,-34.0033,24.7314,48.88,74,0,5.14
125,Arraial Do Cabo,BR,2021-06-04 19:16:29,-22.9661,-42.0278,80.56,83,0,14.97
126,Kingston,JM,2021-06-04 19:14:54,17.997,-76.7936,84.2,50,63,4.85
127,Fortuna,US,2021-06-04 19:16:29,40.5982,-124.1573,81.48,87,90,8.05
128,Port Blair,IN,2021-06-04 19:16:29,11.6667,92.75,83.26,78,100,6.06
129,Disraeli,CA,2021-06-04 19:16:30,45.9001,-71.3491,76.48,54,6,8.99
130,Bang Saphan,TH,2021-06-04 19:16:30,11.2126,99.5117,79.43,90,97,4.92
131,Coquimbo,CL,2021-06-04 19:16:30,-29.9533,-71.3436,58.73,88,90,3.51
132,Jamestown,US,2021-06-04 19:14:46,42.097,-79.2353,76.3,64,1,13.8
133,Trincomalee,LK,2021-06-04 19:16:31,8.5711,81.2335,80.69,77,99,13.18
134,Bosobolo,CD,2021-06-04 19:16:31,4.1833,19.9,69.08,96,100,2.68
135,Guerrero Negro,MX,2021-06-04 19:15:20,27.9769,-114.0611,77.27,42,0,11.88
136,Videira,BR,2021-06-04 19:16:31,-27.0083,-51.1517,75.02,57,0,4.34
137,Pemangkat,ID,2021-06-04 19:16:32,1.1667,108.9667,79.34,83,100,2.95
138,Elva,EE,2021-06-04 19:16:32,58.2225,26.4211,66.34,67,40,2.62
139,San Cristobal,VE,2021-06-04 19:16:32,7.7669,-72.225,78.98,51,71,6.76
140,Nkhata Bay,MW,2021-06-04 19:16:33,-11.6066,34.2907,72.03,78,73,5.03
141,Asau,RO,2021-06-04 19:16:33,46.4333,26.4,59.4,77,23,4.09
142,Yar-Sale,RU,2021-06-04 19:16:33,66.8333,70.8333,49.1,56,100,5.7
143,Umm Bab,QA,2021-06-04 19:16:34,25.2142,50.8072,91.08,58,0,9.15
144,Oussouye,SN,2021-06-04 19:16:34,12.485,-16.5469,89.78,63,7,11.36
145,Lompoc,US,2021-06-04 19:16:34,34.6391,-120.4579,87.01,71,40,4.0
146,Buala,SB,2021-06-04 19:16:35,-8.145,159.5921,80.47,82,100,4.99
147,Woodward,US,2021-06-04 19:16:35,36.4337,-99.3904,87.03,41,40,12.21
148,Gobabis,NA,2021-06-04 19:16:35,-22.45,18.9667,52.3,38,0,10.85
149,Pangnirtung,CA,2021-06-04 19:16:36,66.1451,-65.7125,39.2,60,90,14.97
150,Haines Junction,CA,2021-06-04 19:16:36,60.7522,-137.5108,55.35,33,12,4.61
151,San Vicente,AR,2021-06-04 19:16:36,-26.6167,-54.1333,81.36,38,0,4.63
152,Rocha,UY,2021-06-04 19:16:37,-34.4833,-54.3333,67.82,91,100,5.19
153,Didwana,IN,2021-06-04 19:16:37,27.4,74.5667,90.57,31,26,8.16
154,Salalah,OM,2021-06-04 19:16:38,17.0151,54.0924,82.49,83,40,3.44
