City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Mbandaka,CD,0.0487,18.2603,71.33,93,95,2.13,overcast clouds
204,Chicama,PE,-7.8447,-79.1469,63.14,89,48,5.39,scattered clouds
205,Tual,ID,-5.6667,132.75,81.73,77,17,18.75,few clouds
206,Rocha,UY,-34.4833,-54.3333,53.46,88,2,7.38,clear sky
207,Cockburn Town,TC,21.4612,-71.1419,79.0,77,3,16.82,clear sky
208,Wucheng,CN,29.6008,118.175,76.8,73,100,4.99,overcast clouds
209,Guaruja,BR,-23.9931,-46.2564,75.27,26,41,1.92,scattered clouds
210,Matveyevka,RU,52.15,56.1833,65.35,52,9,11.7,clear sky
211,Pravokumskoye,RU,44.7694,44.6472,64.81,76,100,2.15,overcast clouds
212,Sahuaripa,MX,29.05,-109.2333,82.69,15,0,5.68,clear sky
213,Finschhafen,PG,-6.6024,147.8681,81.46,81,100,10.63,overcast clouds
214,Bahraich,IN,27.5833,81.6,78.44,86,100,9.24,overcast clouds
215,Southbridge,US,42.0751,-72.0334,64.42,74,56,5.91,broken clouds
216,Tura,IN,25.5198,90.2201,79.14,84,53,5.77,broken clouds
217,Sioux Lookout,CA,50.1001,-91.917,46.78,45,20,0.0,few clouds
218,Destin,US,30.3935,-86.4958,79.12,76,40,5.75,scattered clouds
219,Konya,TR,38.1667,32.5,55.72,72,6,0.56,clear sky
220,Guerrero Negro,MX,27.9769,-114.0611,59.63,80,0,20.33,clear sky
221,Shieli,KZ,44.1667,66.75,85.03,29,5,7.27,clear sky
222,Shahe,CN,39.2708,113.5478,62.47,22,0,15.03,clear sky
223,Tucurui,BR,-3.7661,-49.6725,78.49,71,92,3.27,overcast clouds
224,Half Moon Bay,US,37.4636,-122.4286,71.89,84,90,8.05,overcast clouds
225,Prince Albert,CA,53.2001,-105.7677,62.55,34,75,19.57,broken clouds
226,Mahebourg,MU,-20.4081,57.7,73.26,94,75,3.44,broken clouds
227,Phibun Mangsahan,TH,15.2447,105.2291,87.12,69,27,9.91,scattered clouds
228,Port Hardy,CA,50.6996,-127.4199,50.18,87,90,9.22,light rain
229,Lavrentiya,RU,65.5833,-171.0,35.08,86,6,10.76,clear sky
230,Gat,IL,31.61,34.7642,74.39,78,0,6.24,clear sky
231,Carnarvon,AU,-24.8667,113.6333,78.87,65,0,12.66,clear sky
232,Caucaia,BR,-3.7361,-38.6531,82.35,73,75,9.95,broken clouds
233,Gordeyevka,RU,52.9569,31.9703,57.99,98,100,5.79,moderate rain
234,Sibu,MY,2.3,111.8167,79.11,94,40,3.0,scattered clouds
235,Yelizovo,RU,53.1873,158.3805,59.14,38,52,11.18,broken clouds
236,Naze,JP,28.3667,129.4833,70.72,94,100,5.73,moderate rain
237,Saint Anthony,US,45.0205,-93.218,44.92,90,90,1.01,light rain
238,Batemans Bay,AU,-35.7167,150.1833,57.99,49,95,14.65,overcast clouds
